Type	Instance	Name	Value
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-compact-check-interval	5m
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-compact-check-step	100
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-compact-min-redundant-rows	50000
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-compact-min-tombstones	10000
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-compact-redundant-rows-percent	20
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-compact-tombstones-percent	30
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-split-check-diff	6MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.region-worker-tick-interval	500ms
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.renew-leader-lease-advance-duration	2s250ms
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.report-min-resolved-ts-interval	1s
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.report-region-buckets-tick-interval	10s
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.request-voter-replicated-index-interval	5m
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.slow-trend-unsensitive-cause	10
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.slow-trend-unsensitive-result	0.5
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.snap-apply-batch-size	10MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.snap-apply-copy-symlink	false
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.snap-gc-timeout	4h
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.snap-generator-pool-size	2
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.snap-mgr-gc-tick-interval	1m
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.snap-wait-split-duration	34s
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.split-region-check-tick-interval	10s
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.store-io-notify-capacity	40960
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.store-io-pool-size	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.store-low-priority-pool-size	0
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.store-max-batch-size	256
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.store-pool-size	2
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.store-reschedule-duration	5s
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.unreachable-backoff	10s
tiflash	${LOCALHOST}:3930	raftstore-proxy.raftstore.waterfall-metrics	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.high-concurrency	6
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.low-concurrency	6
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.max-tasks-per-worker-high	2000
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.max-tasks-per-worker-low	2000
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.max-tasks-per-worker-normal	2000
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.normal-concurrency	6
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.stack-size	10MiB
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.coprocessor.use-unified-pool	true
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.storage.high-concurrency	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.storage.low-concurrency	4
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.storage.max-tasks-per-worker-high	2000
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.storage.max-tasks-per-worker-low	2000
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.storage.max-tasks-per-worker-normal	2000
tiflash	${LOCALHOST}:3930	raftstore-proxy.readpool.storage.normal-concurrency	4
