VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
rpl_semi_sync_master_enabled	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
rpl_semi_sync_master_timeout	GLOBAL	10000	10000	0	9223372036854775807	NULL	YES
rpl_semi_sync_master_trace_level	GLOBAL			NULL	NULL	NULL	YES
rpl_semi_sync_master_wait_for_slave_count	GLOBAL	1	1	1	65535	NULL	YES
rpl_semi_sync_master_wait_no_slave	GLOBAL	ON	ON	NULL	NULL	NULL	YES
rpl_semi_sync_master_wait_point	GLOBAL	AFTER_SYNC	AFTER_SYNC	NULL	NULL	AFTER_SYNC,AFTER_COMMIT	YES
rpl_semi_sync_slave_enabled	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
rpl_semi_sync_slave_trace_level	GLOBAL			NULL	NULL	NULL	YES
rpl_stop_slave_timeout	GLOBAL	31536000	31536000	NULL	NULL	NULL	YES
secure_auth	GLOBAL	ON	ON	NULL	NULL	NULL	YES
server_id	GLOBAL	0	0	NULL	NULL	NULL	YES
server_id_bits	NONE	32	32	NULL	NULL	NULL	YES
server_uuid	NONE	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	YES
session_track_gtids	SESSION,GLOBAL	OFF	OFF	NULL	NULL	OFF,OWN_GTID,ALL_GTIDS	YES
session_track_schema	SESSION,GLOBAL			NULL	NULL	NULL	YES
session_track_state_change	SESSION,GLOBAL			NULL	NULL	NULL	YES
session_track_system_variables	SESSION,GLOBAL			NULL	NULL	NULL	YES
sha256_password_proxy_users	GLOBAL			NULL	NULL	NULL	YES
show_compatibility_56	GLOBAL			NULL	NULL	NULL	YES
show_old_temporals	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
skip_external_locking	NONE	1	1	NULL	NULL	NULL	YES
skip_name_resolve	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
skip_networking	NONE	0	0	NULL	NULL	NULL	YES
skip_show_database	NONE	0	0	NULL	NULL	NULL	YES
slave_allow_batching	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
