VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
		"enable-chunk-rpc": true,
		"enable-replica-selector-v2": true,
		"grpc-compression-type": "none",
		"grpc-connection-count": 4,
		"grpc-initial-conn-window-size": 134217728,
		"grpc-initial-window-size": 134217728,
		"grpc-keepalive-time": 10,
		"grpc-keepalive-timeout": 3,
		"grpc-shared-buffer-pool": false,
		"max-batch-size": 128,
		"max-batch-wait-time": 0,
		"max-concurrency-request-limit": 9223372036854776000,
		"overload-threshold": 200,
		"region-cache-ttl": 600,
		"resolve-lock-lite-threshold": 16,
		"store-limit": 0,
		"store-liveness-timeout": "1s",
		"ttl-refreshed-txn-size": 33554432
	},
	"tmp-storage-path": "/var/folders/14/1k29ygbn5cxd6ydccy7djh800000gn/T/501_tidb/MTI3LjAuMC4xOjQwMDAvMC4wLjAuMDoxMDA4MA==/tmp-storage",
	"tmp-storage-quota": -1,
	"token-limit": 1000,
	"top-sql": {
		"receiver-address": ""
	},
	"transaction-summary": {
		"transaction-id-digest-min-duration": 2147483647,
		"transaction-summary-capacity": 500
	},
	"treat-old-version-utf8-as-utf8mb4": true,
	"use-autoscaler": false,
	"version-comment": ""
}	NULL	NULL	NULL	NO
tidb_constraint_check_in_place	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_constraint_check_in_place_pessimistic	SESSION	ON	ON	NULL	NULL	NULL	NO
tidb_cost_model_version	SESSION,GLOBAL	2	2	1	2	NULL	NO
tidb_current_ts	SESSION	0	0	0	9223372036854775807	NULL	NO
tidb_ddl_disk_quota	GLOBAL	107374182400	107374182400	107374182400	1125899906842624	NULL	NO
tidb_ddl_enable_fast_reorg	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_ddl_error_count_limit	GLOBAL	512	512	0	9223372036854775807	NULL	NO
tidb_ddl_flashback_concurrency	GLOBAL	64	64	1	256	NULL	NO
tidb_ddl_reorg_batch_size	SESSION,GLOBAL	256	256	32	10240	NULL	NO
tidb_ddl_reorg_max_write_speed	GLOBAL	0	0	NULL	NULL	NULL	NO
tidb_ddl_reorg_priority	SESSION	PRIORITY_LOW	PRIORITY_LOW	NULL	NULL	PRIORITY_LOW,PRIORITY_NORMAL,PRIORITY_HIGH	NO
tidb_ddl_reorg_worker_cnt	SESSION,GLOBAL	4	4	1	256	NULL	NO
tidb_default_string_match_selectivity	SESSION,GLOBAL	0.8	0.8	0	1	NULL	NO
tidb_disable_txn_auto_retry	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_distsql_scan_concurrency	SESSION,GLOBAL	15	15	1	256	NULL	NO
tidb_dml_batch_size	SESSION,GLOBAL	0	0	0	2147483647	NULL	NO
tidb_dml_type	SESSION	STANDARD	STANDARD	NULL	NULL	NULL	NO
tidb_enable_1pc	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_analyze_snapshot	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_async_commit	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_async_merge_global_stats	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_auto_analyze	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_auto_analyze_priority_queue	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_auto_increment_in_generated	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_batch_dml	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_cascades_planner	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_check_constraint	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_chunk_rpc	SESSION	ON	ON	NULL	NULL	NULL	NO
tidb_enable_clustered_index	SESSION,GLOBAL	ON	ON	NULL	NULL	OFF,ON,INT_ONLY	NO
tidb_enable_collect_execution_info	INSTANCE	ON	ON	NULL	NULL	NULL	NO
tidb_enable_column_tracking	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_ddl	INSTANCE	ON	ON	NULL	NULL	NULL	NO
tidb_enable_dist_task	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_enhanced_security	NONE	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_exchange_partition	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_extended_stats	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_external_ts_read	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_fast_analyze	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_fast_create_table	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_fast_table_check	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_foreign_key	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_gc_aware_memory_track	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_global_index	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_gogc_tuner	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_historical_stats	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_historical_stats_for_capture	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_index_merge	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_index_merge_join	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_inl_join_inner_multi_pattern	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_instance_plan_cache	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_lazy_cursor_fetch	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_legacy_instance_scope	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_list_partition	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_local_txn	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_metadata_lock	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_mutation_checker	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_new_cost_interface	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_new_only_full_group_by_check	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_non_prepared_plan_cache	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_non_prepared_plan_cache_for_dml	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_noop_functions	SESSION,GLOBAL	OFF	OFF	NULL	NULL	OFF,ON,WARN	NO
tidb_enable_noop_variables	GLOBAL	ON	ON	NULL	NULL	OFF,ON	NO
tidb_enable_null_aware_anti_join	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_ordered_result_mode	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_outer_join_reorder	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_paging	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_parallel_apply	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_parallel_hashagg_spill	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_pipelined_window_function	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_plan_cache_for_param_limit	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_plan_cache_for_subquery	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_plan_replayer_capture	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_plan_replayer_continuous_capture	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_prepared_plan_cache	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_prepared_plan_cache_memory_monitor	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_pseudo_for_outdated_stats	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_rate_limit_action	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_resource_control	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_reuse_chunk	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_row_level_checksum	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_shared_lock_promotion	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_slow_log	INSTANCE	ON	ON	NULL	NULL	NULL	NO
tidb_enable_stats_owner	INSTANCE	ON	ON	NULL	NULL	NULL	NO
tidb_enable_stmt_summary	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_strict_double_type_check	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_table_partition	SESSION,GLOBAL	ON	ON	NULL	NULL	OFF,ON,AUTO	NO
tidb_enable_telemetry	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_tiflash_pipeline_model	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_tiflash_read_for_write_stmt	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_tmp_storage_on_oom	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_top_sql	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_tso_follower_proxy	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_unsafe_substitute	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_enable_vectorized_expression	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enable_window_function	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_enforce_mpp	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_evolve_plan_baselines	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_evolve_plan_task_end_time	GLOBAL	23:59 +0000	23:59 +0000	NULL	NULL	NULL	NO
tidb_evolve_plan_task_max_time	GLOBAL	600	600	-1	9223372036854775807	NULL	NO
tidb_evolve_plan_task_start_time	GLOBAL	00:00 +0000	00:00 +0000	NULL	NULL	NULL	NO
tidb_executor_concurrency	SESSION,GLOBAL	5	5	1	256	NULL	NO
tidb_expensive_query_time_threshold	INSTANCE	60	60	10	2147483647	NULL	NO
tidb_expensive_txn_time_threshold	INSTANCE	600	600	60	2147483647	NULL	NO
tidb_external_ts	GLOBAL	0	0	NULL	NULL	NULL	NO
tidb_force_priority	INSTANCE	NO_PRIORITY	NO_PRIORITY	NULL	NULL	NO_PRIORITY,LOW_PRIORITY,HIGH_PRIORITY,DELAYED	NO
tidb_foreign_key_check_in_shared_lock	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_gc_concurrency	GLOBAL	-1	-1	1	256	NULL	NO
tidb_gc_enable	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_gc_life_time	GLOBAL	10m0s	10m0s	NULL	NULL	NULL	NO
tidb_gc_max_wait_time	GLOBAL	86400	86400	600	31536000	NULL	NO
tidb_gc_run_interval	GLOBAL	10m0s	10m0s	NULL	NULL	NULL	NO
tidb_gc_scan_lock_mode	GLOBAL	LEGACY	LEGACY	NULL	NULL	PHYSICAL,LEGACY	NO
tidb_general_log	INSTANCE	OFF	OFF	NULL	NULL	NULL	NO
tidb_generate_binary_plan	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_gogc_tuner_max_value	GLOBAL	500	500	10	2147483647	NULL	NO
tidb_gogc_tuner_min_value	GLOBAL	100	100	10	2147483647	NULL	NO
tidb_gogc_tuner_threshold	GLOBAL	0.6	0.6	0	18446744073709551615	NULL	NO
tidb_guarantee_linearizability	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_hash_exchange_with_new_collation	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_hash_join_concurrency	SESSION,GLOBAL	-1	-1	1	256	NULL	NO
tidb_hash_join_version	SESSION,GLOBAL	legacy	legacy	NULL	NULL	NULL	NO
tidb_hashagg_final_concurrency	SESSION,GLOBAL	-1	-1	1	256	NULL	NO
tidb_hashagg_partial_concurrency	SESSION,GLOBAL	-1	-1	1	256	NULL	NO
tidb_historical_stats_duration	GLOBAL	168h0m0s	168h0m0s	NULL	NULL	NULL	NO
tidb_idle_transaction_timeout	SESSION,GLOBAL	0	0	0	31536000	NULL	NO
tidb_ignore_inlist_plan_digest	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_ignore_prepared_cache_close_stmt	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_index_join_batch_size	SESSION,GLOBAL	25000	25000	1	2147483647	NULL	NO
tidb_index_join_double_read_penalty_cost_rate	SESSION,GLOBAL	0	0	0	18446744073709551615	NULL	NO
tidb_index_lookup_concurrency	SESSION,GLOBAL	-1	-1	1	256	NULL	NO
tidb_index_lookup_join_concurrency	SESSION,GLOBAL	-1	-1	1	256	NULL	NO
tidb_index_lookup_pushdown_policy	SESSION,GLOBAL	hint-only	hint-only	NULL	NULL	hint-only,affinity-force,force	NO
tidb_index_lookup_size	SESSION,GLOBAL	20000	20000	1	2147483647	NULL	NO
tidb_index_merge_intersection_concurrency	SESSION,GLOBAL	-1	-1	1	256	NULL	NO
tidb_index_serial_scan_concurrency	SESSION,GLOBAL	1	1	1	256	NULL	NO
tidb_init_chunk_size	SESSION,GLOBAL	32	32	1	32	NULL	NO
tidb_instance_plan_cache_max_size	GLOBAL	104857600	104857600	NULL	NULL	NULL	NO
tidb_instance_plan_cache_reserved_percentage	GLOBAL	0.1	0.1	0	1	NULL	NO
tidb_isolation_read_engines	SESSION	tikv,tiflash,tidb	tikv,tiflash,tidb	NULL	NULL	NULL	NO
tidb_last_ddl_info	SESSION		{"query":"","seq_num":0}	NULL	NULL	NULL	NO
tidb_last_plan_replayer_token	SESSION			NULL	NULL	NULL	NO
tidb_last_query_info	SESSION		{"txn_scope":"global","start_ts":0,"for_update_ts":0,"ru_consumption":0}	NULL	NULL	NULL	NO
tidb_last_txn_info	SESSION			NULL	NULL	NULL	NO
tidb_load_based_replica_read_threshold	SESSION,GLOBAL	1s	1s	NULL	NULL	NULL	NO
tidb_load_binding_timeout	GLOBAL	200	200	0	2147483647	NULL	NO
tidb_lock_unchanged_keys	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_log_file_max_days	INSTANCE	0	0	0	2147483647	NULL	NO
tidb_low_resolution_tso	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_low_resolution_tso_update_interval	GLOBAL	2000	2000	10	60000	NULL	NO
tidb_max_auto_analyze_time	GLOBAL	43200	43200	0	2147483647	NULL	NO
tidb_max_bytes_before_tiflash_external_group_by	SESSION,GLOBAL	-1	-1	-1	9223372036854775807	NULL	NO
tidb_max_bytes_before_tiflash_external_join	SESSION,GLOBAL	-1	-1	-1	9223372036854775807	NULL	NO
tidb_max_bytes_before_tiflash_external_sort	SESSION,GLOBAL	-1	-1	-1	9223372036854775807	NULL	NO
tidb_max_chunk_size	SESSION,GLOBAL	1024	1024	32	2147483647	NULL	NO
tidb_max_delta_schema_count	GLOBAL	1024	1024	100	16384	NULL	NO
tidb_max_dist_task_nodes	SESSION,GLOBAL	-1	-1	-1	128	NULL	NO
tidb_max_paging_size	SESSION,GLOBAL	50000	50000	1	9223372036854775807	NULL	NO
tidb_max_tiflash_threads	SESSION,GLOBAL	-1	-1	-1	256	NULL	NO
tidb_mem_oom_action	GLOBAL	CANCEL	CANCEL	NULL	NULL	CANCEL,LOG	NO
tidb_mem_quota_analyze	GLOBAL	-1	-1	-1	9223372036854775807	NULL	NO
tidb_mem_quota_apply_cache	SESSION,GLOBAL	33554432	33554432	0	9223372036854775807	NULL	NO
tidb_mem_quota_binding_cache	GLOBAL	67108864	67108864	0	2147483647	NULL	NO
tidb_mem_quota_query	SESSION,GLOBAL	1073741824	1073741824	-1	9223372036854775807	NULL	NO
tidb_memory_debug_mode_alarm_ratio	SESSION	0	0	0	9223372036854775807	NULL	NO
tidb_memory_debug_mode_min_heap_inuse	SESSION	0	0	-9223372036854775808	9223372036854775807	NULL	NO
tidb_memory_usage_alarm_keep_record_num	GLOBAL	5	5	1	10000	NULL	NO
tidb_memory_usage_alarm_ratio	GLOBAL	0.7	0.7	0	1	NULL	NO
tidb_merge_join_concurrency	SESSION,GLOBAL	1	1	1	256	NULL	NO
tidb_merge_partition_stats_concurrency	SESSION,GLOBAL	1	1	1	256	NULL	NO
tidb_metric_query_range_duration	SESSION	60	60	10	216000	NULL	NO
tidb_metric_query_step	SESSION	60	60	10	216000	NULL	NO
tidb_min_paging_size	SESSION,GLOBAL	128	128	1	9223372036854775807	NULL	NO
tidb_mpp_store_fail_ttl	SESSION,GLOBAL	0s	0s	NULL	NULL	NULL	NO
tidb_multi_statement_mode	SESSION,GLOBAL	OFF	OFF	NULL	NULL	OFF,ON,WARN	NO
tidb_non_prepared_plan_cache_size	SESSION,GLOBAL	100	100	1	100000	NULL	NO
tidb_nontransactional_ignore_error	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_advanced_join_hint	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_agg_push_down	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_broadcast_cartesian_join	SESSION,GLOBAL	1	1	0	2	NULL	NO
tidb_opt_concurrency_factor	SESSION,GLOBAL	3	3	0	18446744073709551615	NULL	NO
tidb_opt_copcpu_factor	SESSION,GLOBAL	3	3	0	18446744073709551615	NULL	NO
tidb_opt_correlation_exp_factor	SESSION,GLOBAL	1	1	0	2147483647	NULL	NO
tidb_opt_correlation_threshold	SESSION,GLOBAL	0.9	0.9	0	1	NULL	NO
tidb_opt_cpu_factor	SESSION,GLOBAL	3	3	0	18446744073709551615	NULL	NO
tidb_opt_derive_topn	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_desc_factor	SESSION,GLOBAL	3	3	0	18446744073709551615	NULL	NO
tidb_opt_disk_factor	SESSION,GLOBAL	1.5	1.5	0	18446744073709551615	NULL	NO
tidb_opt_distinct_agg_push_down	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_enable_correlation_adjustment	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_enable_fuzzy_binding	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_enable_hash_join	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_enable_late_materialization	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_enable_mpp_shared_cte_execution	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_enable_no_decorrelate_in_select	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_enable_non_eval_scalar_subquery	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_enable_semi_join_rewrite	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_enable_three_stage_multi_distinct_agg	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_fix_control	SESSION,GLOBAL			NULL	NULL	NULL	NO
tidb_opt_force_inline_cte	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_hash_agg_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_hash_join_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_index_join_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_index_lookup_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_index_merge_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_index_reader_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_index_scan_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_insubq_to_join_and_agg	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_join_reorder_threshold	SESSION,GLOBAL	0	0	0	63	NULL	NO
tidb_opt_join_reorder_through_sel	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_limit_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_limit_push_down_threshold	SESSION,GLOBAL	100	100	0	2147483647	NULL	NO
tidb_opt_memory_factor	SESSION,GLOBAL	0.001	0.001	0	18446744073709551615	NULL	NO
tidb_opt_merge_join_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_mpp_outer_join_fixed_build_side	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_network_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_objective	SESSION,GLOBAL	moderate	moderate	NULL	NULL	moderate,determinate	NO
tidb_opt_ordering_index_selectivity_ratio	SESSION,GLOBAL	-1	-1	-1	1	NULL	NO
tidb_opt_ordering_index_selectivity_threshold	SESSION,GLOBAL	0	0	0	1	NULL	NO
tidb_opt_prefer_range_scan	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_prefix_index_single_scan	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_projection_push_down	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_range_max_size	SESSION,GLOBAL	67108864	67108864	0	9223372036854775807	NULL	NO
tidb_opt_scan_factor	SESSION,GLOBAL	1.5	1.5	0	18446744073709551615	NULL	NO
tidb_opt_seek_factor	SESSION,GLOBAL	20	20	0	18446744073709551615	NULL	NO
tidb_opt_skew_distinct_agg	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_sort_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_stream_agg_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_table_full_scan_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_table_range_scan_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_table_reader_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_table_rowid_scan_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_table_tiflash_scan_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_three_stage_distinct_agg	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_opt_tiflash_concurrency_factor	SESSION,GLOBAL	24	24	1	18446744073709551615	NULL	NO
tidb_opt_topn_cost_factor	SESSION,GLOBAL	1	1	0	18446744073709551615	NULL	NO
tidb_opt_use_invisible_indexes	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_opt_write_row_id	SESSION	OFF	OFF	NULL	NULL	NULL	NO
tidb_optimizer_selectivity_level	SESSION	0	0	0	2147483647	NULL	NO
tidb_partition_prune_mode	SESSION,GLOBAL	dynamic	dynamic	NULL	NULL	static,dynamic,static-only,dynamic-only	NO
tidb_persist_analyze_options	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_pessimistic_txn_fair_locking	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_placement_mode	SESSION,GLOBAL	STRICT	STRICT	NULL	NULL	STRICT,IGNORE	NO
tidb_plan_cache_invalidation_on_fresh_stats	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_plan_cache_max_plan_size	SESSION,GLOBAL	2097152	2097152	0	18446744073709551615	NULL	NO
tidb_pprof_sql_cpu	INSTANCE	0	0	0	1	NULL	NO
tidb_pre_split_regions	SESSION,GLOBAL	0	0	0	15	NULL	NO
tidb_prefer_broadcast_join_by_exchange_data_size	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_prepared_plan_cache_memory_guard_ratio	GLOBAL	0.1	0.1	0	1	NULL	NO
tidb_prepared_plan_cache_size	SESSION,GLOBAL	100	100	1	100000	NULL	NO
tidb_projection_concurrency	SESSION,GLOBAL	-1	-1	-1	256	NULL	NO
tidb_query_log_max_len	GLOBAL	4096	4096	0	1073741824	NULL	NO
tidb_rc_read_check_ts	INSTANCE	OFF	OFF	NULL	NULL	NULL	NO
tidb_rc_write_check_ts	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_read_consistency	SESSION	strict	strict	NULL	NULL	NULL	NO
tidb_read_staleness	SESSION	0	0	-2147483648	0	NULL	NO
tidb_record_plan_in_slow_log	INSTANCE	ON	ON	NULL	NULL	NULL	NO
tidb_redact_log	SESSION,GLOBAL	OFF	OFF	NULL	NULL	OFF,ON,MARKER	NO
tidb_regard_null_as_point	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_remove_orderby_in_subquery	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_replica_read	SESSION,GLOBAL	leader	leader	NULL	NULL	leader,prefer-leader,follower,leader-and-follower,closest-replicas,closest-adaptive,learner	NO
tidb_request_source_type	SESSION			NULL	NULL	,lightning,br,dumpling,background,ddl,stats,import	NO
tidb_resource_control_strict_mode	GLOBAL	ON	ON	NULL	NULL	NULL	NO
tidb_restricted_read_only	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_retry_limit	SESSION,GLOBAL	10	10	-1	9223372036854775807	NULL	NO
tidb_row_format_version	SESSION,GLOBAL	2	2	1	2	NULL	NO
tidb_runtime_filter_mode	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_runtime_filter_type	SESSION,GLOBAL	IN	IN	NULL	NULL	NULL	NO
tidb_scatter_region	SESSION,GLOBAL			NULL	NULL	NULL	NO
tidb_schema_cache_size	GLOBAL	536870912	536870912	NULL	NULL	NULL	NO
tidb_schema_version_cache_limit	GLOBAL	16	16	2	255	NULL	NO
tidb_server_memory_limit	GLOBAL	80%	80%	NULL	NULL	NULL	NO
tidb_server_memory_limit_gc_trigger	GLOBAL	0.7	0.7	NULL	NULL	NULL	NO
tidb_server_memory_limit_sess_min_size	GLOBAL	134217728	134217728	NULL	NULL	NULL	NO
tidb_service_scope	INSTANCE			NULL	NULL	NULL	NO
tidb_session_alias	SESSION			NULL	NULL	NULL	NO
tidb_session_plan_cache_size	SESSION,GLOBAL	100	100	1	100000	NULL	NO
tidb_shard_allocate_step	SESSION,GLOBAL	9223372036854775807	9223372036854775807	1	9223372036854775807	NULL	NO
tidb_shard_row_id_bits	SESSION,GLOBAL	0	0	0	15	NULL	NO
tidb_simplified_metrics	GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
tidb_skip_ascii_check	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	NO
